field,group,source_class,explicit_or_derived,ground_truth_class,difficulty,public_coverage_pct,datastore_role,in_v1_benchmark,notification_ready,relevant_mvp_types,relevance_note
notification_family,notification_metadata,derived_from_public,derived,weak_heuristic,low,75.44,derive_from_public,False,yes_with_caveat,"tender_offer,exchange_offer,rights_issue,merger,conversion","Can be mapped from corporate-action family (e.g., tender/offer) but is a BNY taxonomy label."
notification_type,notification_metadata,derived_from_public,derived,requires_manual_annotation,medium,24.56,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",BNY notification_type is distinct from corporate_action_type; needs mapping table.
notification_status,notification_metadata,derived_from_public,derived,weak_heuristic,medium,96.49,derive_from_public,True,yes_with_caveat,"tender_offer,exchange_offer,rights_issue,merger,conversion",Approximated from initial vs /A filings and cancellation/withdrawal language.
processing_status,notification_metadata,bny_internal_only,internal,cannot_evaluate_from_public,n/a,0.0,bny_placeholder,False,placeholder_only,,BNY workflow state; not present in public SEC filings.
mandatory_voluntary_indicator,notification_metadata,public_document_extractable,explicit,requires_manual_annotation,medium,49.12,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Often stated for tenders (voluntary) but wording varies.
security_description,security,public_document_extractable,explicit,weak_heuristic,low,100.0,extract_from_public,True,yes_with_caveat,"tender_offer,exchange_offer,rights_issue,merger,conversion",Usually in cover page / offer title; also partly in EFTS display names.
isin,security,public_document_extractable,explicit,requires_manual_annotation,low,7.02,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Present in many offer docs but not in EFTS metadata.
cusip,security,public_document_extractable,explicit,requires_manual_annotation,low,42.11,annotate_then_store,True,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Common in U.S. tender materials.
ticker,security,public_document_extractable,explicit,weak_heuristic,low,75.6,extract_from_public,True,yes_with_caveat,"tender_offer,exchange_offer,rights_issue,merger,conversion",Sometimes in EFTS display_names; otherwise in document text.
currency,security,public_document_extractable,explicit,weak_heuristic,low,68.42,extract_from_public,False,yes_with_caveat,"tender_offer,exchange_offer,rights_issue,merger,conversion",Often USD implied for U.S. cash tenders; explicit currency labels vary.
coupon_rate,security,public_document_extractable,explicit,requires_manual_annotation,medium,52.63,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,conversion",Relevant mainly for debt tenders / exchange offers.
maturity_date,security,public_document_extractable,explicit,requires_manual_annotation,medium,52.63,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,conversion",Relevant mainly for debt instruments.
corporate_action_type,event,derived_from_public,derived,strong_automatic,low,100.0,derive_from_public,True,yes_metadata,"tender_offer,exchange_offer,rights_issue,merger,conversion",Derived from SEC form family (tender offer / issuer tender / target recommendation).
event_subtype,event,public_document_extractable,explicit,requires_manual_annotation,medium,47.37,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion","E.g., cash tender, exchange offer, odd-lot, Dutch auction, fund repurchase."
effective_date,event,public_document_extractable,explicit,requires_manual_annotation,medium,49.12,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",May appear as commencement / effective date of the offer.
record_date,event,public_document_extractable,explicit,requires_manual_annotation,medium,64.91,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Less common for classic cash tenders; more for rights/exchange variants.
ex_date,event,unclear_requires_investigation,derived,cannot_evaluate_from_public,high,8.77,exclude_or_investigate,False,no_client_amount_without_position,"exchange_offer,rights_issue,merger",Typically market-calendar concept; rarely a primary Schedule TO field.
payment_date,event,public_document_extractable,explicit,requires_manual_annotation,medium,61.4,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Often described as payment / settlement timing after expiration.
settlement_date,event,public_document_extractable,explicit,requires_manual_annotation,medium,73.68,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Often narrative ('promptly after expiration') rather than a fixed date.
old_security_description,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,medium,12.28,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Relevant for exchange offers / conversions.
old_security_isin,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,medium,7.02,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Relevant for exchange offers when ISINs are disclosed.
new_security_description,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,medium,63.16,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Relevant for exchange offers / conversions.
new_security_isin,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,medium,7.02,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Relevant for exchange offers when ISINs are disclosed.
conversion_ratio,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,high,63.16,annotate_then_store,True,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Mostly exchange/conversion events; uncommon in pure cash tenders.
conversion_price,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,high,17.54,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Mostly convertible / exchange contexts.
redemption_amount,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,medium,61.4,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,merger,conversion",Debt redemption / tender contexts.
call_price,conversion_exchange,public_document_extractable,explicit,requires_manual_annotation,medium,14.04,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,conversion",Callable debt contexts.
election_required,election_response,derived_from_public,derived,weak_heuristic,medium,66.67,derive_from_public,False,yes_with_caveat,"tender_offer,exchange_offer,rights_issue,merger,conversion",Inferred if holders must elect among options / tender or not.
available_options,election_response,public_document_extractable,explicit,requires_manual_annotation,high,8.77,annotate_then_store,True,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Cash/stock/mixed elections; option lists are narrative-heavy.
default_option,election_response,public_document_extractable,explicit,requires_manual_annotation,high,0.0,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Often buried in election mechanics.
election_deadline,election_response,public_document_extractable,explicit,requires_manual_annotation,medium,68.42,annotate_then_store,True,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",May coincide with expiration date for tenders.
response_deadline,election_response,public_document_extractable,explicit,requires_manual_annotation,medium,40.35,annotate_then_store,True,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Overlap with expiration / withdrawal deadlines in tender docs.
cancellation_reason,election_response,public_document_extractable,explicit,requires_manual_annotation,high,43.86,annotate_then_store,False,after_annotation,"tender_offer,exchange_offer,rights_issue,merger,conversion",Only when offer is terminated/withdrawn/cancelled.
eligible_quantity,position_payment,bny_internal_only,internal,cannot_evaluate_from_public,n/a,0.0,bny_placeholder,False,placeholder_only,,Client-position specific; not in public filings.
position_quantity,position_payment,bny_internal_only,internal,cannot_evaluate_from_public,n/a,0.0,bny_placeholder,False,placeholder_only,,Client account holdings; internal BNY data.
principal_amount,position_payment,unclear_requires_investigation,derived,cannot_evaluate_from_public,high,59.65,exclude_or_investigate,False,no_client_amount_without_position,"tender_offer,exchange_offer,rights_issue,merger,conversion",Public docs may state aggregate principal sought; client principal is internal.
interest_amount,position_payment,unclear_requires_investigation,derived,cannot_evaluate_from_public,high,24.56,exclude_or_investigate,False,no_client_amount_without_position,"tender_offer,exchange_offer,rights_issue,merger,conversion",Accrued interest terms may be public; client amount is internal.
cash_amount,position_payment,unclear_requires_investigation,derived,cannot_evaluate_from_public,high,77.19,exclude_or_investigate,True,no_client_amount_without_position,"tender_offer,exchange_offer,rights_issue,merger,conversion",Offer price is public; client cash proceeds require position * price.
debit_credit_indicator,position_payment,bny_internal_only,internal,cannot_evaluate_from_public,n/a,0.0,bny_placeholder,False,placeholder_only,,Ledger posting direction; BNY internal.
