event_id,primary_entity,primary_form_family,n_filings,n_amendment_filings,n_documents,event_span_days,first_file_date,last_file_date
005-89940,"Southwest Gas Holdings, Inc.",mixed,64,62,158,208,2021-10-27,2022-05-23
005-80234,BEACON ROOFING SUPPLY INC,mixed,56,54,133,92,2025-01-27,2025-04-29
005-42593,SEACOR HOLDINGS INC /NEW/,mixed,43,40,92,118,2020-12-18,2021-04-15
005-87285,STRATASYS LTD.,mixed,41,39,178,68,2023-05-25,2023-08-01
005-86024,Wright Medical Group N.V.,mixed,38,38,67,315,2020-01-02,2020-11-12
005-88851,"Priority Income Fund, Inc.",issuer_tender,60,38,176,2093,2020-01-27,2025-10-20
005-89626,"F-star Therapeutics, Inc.",mixed,40,38,78,245,2022-07-07,2023-03-09
005-90752,AIP Alternative Lending Fund A,issuer_tender,59,35,206,2100,2020-04-01,2025-12-31
005-93360,Olink Holding AB,mixed,37,35,97,260,2023-10-31,2024-07-17
005-88663,Santander Consumer USA Holdings Inc.,mixed,37,33,68,729,2020-01-30,2022-01-28
