field,group,public_coverage_pct,ground_truth_class,difficulty,benchmark_recommendation,evidence_type
call_price,conversion_exchange,2.63,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
conversion_price,conversion_exchange,0.0,requires_manual_annotation,high,annotate_later_or_event_type_specific,inferred_regex_presence
new_security_description,conversion_exchange,26.32,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
new_security_isin,conversion_exchange,0.0,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
old_security_description,conversion_exchange,0.0,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
old_security_isin,conversion_exchange,0.0,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
redemption_amount,conversion_exchange,5.26,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
available_options,election_response,5.26,requires_manual_annotation,high,annotate_later_or_event_type_specific,inferred_regex_presence
cancellation_reason,election_response,18.42,requires_manual_annotation,high,annotate_later_or_event_type_specific,inferred_regex_presence
default_option,election_response,0.0,requires_manual_annotation,high,annotate_later_or_event_type_specific,inferred_regex_presence
response_deadline,election_response,39.47,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
effective_date,event,18.42,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
event_subtype,event,10.53,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
payment_date,event,18.42,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
record_date,event,18.42,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
settlement_date,event,26.32,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
mandatory_voluntary_indicator,notification_metadata,5.26,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
coupon_rate,security,2.63,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
isin,security,0.0,requires_manual_annotation,low,annotate_later_or_event_type_specific,inferred_regex_presence
maturity_date,security,0.0,requires_manual_annotation,medium,annotate_later_or_event_type_specific,inferred_regex_presence
ex_date,event,0.0,cannot_evaluate_from_public,high,exclude_from_public_benchmark,inferred_regex_presence
processing_status,notification_metadata,0.0,cannot_evaluate_from_public,n/a,exclude_from_public_benchmark,internal_only
cash_amount,position_payment,73.68,cannot_evaluate_from_public,high,exclude_from_public_benchmark,inferred_regex_presence
debit_credit_indicator,position_payment,0.0,cannot_evaluate_from_public,n/a,exclude_from_public_benchmark,internal_only
eligible_quantity,position_payment,0.0,cannot_evaluate_from_public,n/a,exclude_from_public_benchmark,internal_only
interest_amount,position_payment,2.63,cannot_evaluate_from_public,high,exclude_from_public_benchmark,inferred_regex_presence
position_quantity,position_payment,0.0,cannot_evaluate_from_public,n/a,exclude_from_public_benchmark,internal_only
principal_amount,position_payment,10.53,cannot_evaluate_from_public,high,exclude_from_public_benchmark,inferred_regex_presence
notification_family,notification_metadata,100.0,weak_heuristic,low,include_as_weak_proxy_only,inferred_regex_presence
notification_status,notification_metadata,97.37,weak_heuristic,medium,include_as_weak_proxy_only,inferred_regex_presence
security_description,security,100.0,weak_heuristic,low,include_as_weak_proxy_only,observed_metadata
ticker,security,51.18,weak_heuristic,low,include_as_weak_proxy_only,observed_metadata
corporate_action_type,event,100.0,strong_automatic,low,include_in_v1_benchmark,observed_metadata
election_required,election_response,23.68,weak_heuristic,medium,investigate,inferred_regex_presence
currency,security,13.16,weak_heuristic,low,investigate,inferred_regex_presence
conversion_ratio,conversion_exchange,60.53,requires_manual_annotation,high,prioritize_for_manual_annotation,inferred_regex_presence
election_deadline,election_response,71.05,requires_manual_annotation,medium,prioritize_for_manual_annotation,inferred_regex_presence
notification_type,notification_metadata,73.68,requires_manual_annotation,medium,prioritize_for_manual_annotation,inferred_regex_presence
cusip,security,97.37,requires_manual_annotation,low,prioritize_for_manual_annotation,inferred_regex_presence
